abandon;vt. 放弃,沉溺n. 放任;[4'b1nd4n]
implicit;a. 暗示的,盲从的,绝对的,固有的;[im'plisit]
imposing;a. 令人难忘的,壮丽的,威风的;[im'p4uzi6]
impotence;n. 无力,虚弱,无效,阳痿;['imp4t4ns]
impressionism;n. 印象主义,印象派,印象批评;[im'prA54n'iz4m]
impressively;adv. 令人难忘地; [im'presiv]
imprisonment;n. 监禁,下狱,坐牢;[im'priznm4nt]
impromptu;n. 即席演出,即兴曲a. 即席的ad. 即席;[im'pramptju:]
impropriety;n. 不适当,不得体,不正当的行为,用词不当;['impr4'prai4ti]
improvident;a. 无远见的,浪费的;[im'pr3vid4nt]
improvise;vt. 即席写作,即席即兴,即席而作;['impr4vaiz]
imprudent;a. 轻率的,鲁莽的;[im'pru:dnt]
impudent;a. 鲁莽的,卑鄙的,厚颜无耻的;['impjud4nt]
impulse;n. 冲动,驱使,刺激,脉冲,冲力vt. 推动;['imp8ls]
impulsive;a. 冲动的,受感情驱使的,任性的;[im'p8lsiv]
impunity;n. 不受惩罚,无事,无患;[im'pju:niti]
impure;a. 不纯的,肮脏的,掺杂的,混合的;[im'pju4]
impurity;n. 杂质,不洁,不纯;[im'pju4riti]
impute;vt. 归罪,使负责,嫁祸于;[im'pju:t]
inaugurate;vt. 开创,举行...开幕典礼;[i'n3:gjureit]
inborn;a. 天生的,生来的,生成的;[in'b3:n]
incapacitate;vt. 使无能力,使不能胜任,使不适当;['ink4'p1s4'tet]
incense;n. 香,香气,奉承vi. 焚香vt. 用香焚,使发怒;['insens,in'sens]
incentive;n. 动机a. 激励的;[in'sentiv]
incessant;a. 不断的,不绝的,无尽的;[in'sesnt]
incipient;a. 起初的,发端的,初期的;[in'sipi4nt]
incisive;a. 敏锐的,机敏的,锋利的,切入的,激烈的;[in'saisiv]
incite;vt. 刺激,激励,引诱;[in'sait]
inclined;adj. 倾斜的;[in'klaind]
incoherent;a. 不连贯的,语无伦次的;['ink4u'hir4nt]
incompatible;a. 不相容的,不能并存的,矛盾的;['ink4m'p1t4bl]
incompetent;a. 无能力的,无力的,不适当的,不胜任的n. 无能力者;[in'k3mpit4nt]
inconceivable;a. 不能想像的,想不到的,难信的;['ink4n'si:v4bl]
incongruity;n. 不调和,不一致,不配合;['inka6'gru4ti]
incongruous;a. 不协调的,不一致的,前后不一的;[in'k36gru4s]
incorruptible;a. 不腐败的,不能收买的,清廉的;[ink4'r8pt4bl]
incredible;a. 难以置信的;[in'kred4bl]
incredulity;n. 不易相信,深疑,怀疑心;['inkr4'djul4ti]
incriminate;vt. 归罪,使负罪,控告;[in'krim4'net]
incur;vt. 招致,蒙受,遭遇;[in'k4:]
indecent;a. 下流的,不妥当的;[in'di:snt]
indefatigable;a. 不知疲倦的,有耐性的,不屈不挠的;['indi'f1tig4bl]
indefinite;a. 模糊的,不确定的,无限的;[in'definit]
indemnity;n. 赔偿,补偿,保护;[in'dAmn4ti]
indent;n. 契约,订货单,凹痕vi. 切割成锯齿状vt. 缩排,,印凹痕n. 缩进;[in'dent]
indicate;vt. 显示,象征,指示,指出;['indikeit]
indictment;n. 起诉,控告,起诉状;[in'daitm4nt]
indifferent;a. 漠不关心的,无重要性的,中立的;[in'difr4nt]
indigenous;a. 本土的,土著的,国产的;[in'did9in4s]
indigent;a. 贫乏的,穷困的;['indid94nt]
indignant;a. 愤怒的,愤慨的;[in'dign4nt]
indignity;n. 侮辱;[in'digniti]
indolent;a. 懒惰的,不痛的;['ind4l4nt]
indomitable;a. 不屈服的,不屈不挠的;[in'd3mit4bl]
induce;vt. 引诱,招致,感应;[in'dju:s]
industrial;a. 工业的,实业的,产业的n. 工业工人,工业股票;[in'd8stri4l]
industrious;a. 勤勉的,刻苦的;[in'd8stri4s]
ineligible;a. 无被选任资格的,不适任的,不适当的n. 无被选任资格的人,不合录用资格的人;[in'Alid94bl]
inept;a. 不适当的,无能的,笨拙的;[in'Apt]
inert;a. 惰性的,迟钝的,无活力的,呆滞的;[i'n4:t]
inertia;n. 惯性,惰性,迟钝;[i'n4:5j4]
inevitable;a. 不可避免的,必然的;[in'evit4bl]
infallible;a. 绝无错误的,绝对可靠的n. 一贯正确的人;[in'f1l4bl]
infamous;a. 无耻的,不名誉的,声名狼藉的;['inf4m4s]
infect;vt. 传染,感染;[in'fekt]
infectious;a. 有传染性的,易传染的;[in'fek54s]
infer;vt. 推论出,推断vi. 作推论;[in'f4:]
inferior;a. 次等的,较低的,下方的,下级的n. 低下的人,次品,下附文字;[in'fi4ri4]
inflation;n. 胀大,夸张,通货膨胀;[in'flei54n]
inflexible;a. 不屈曲的,不屈挠的,顽固的;[in'fleks4bl]
inflict;vt. 施以,加害,科以,使承受;[in'flikt]
influential;a. 有影响的,有势力的;['influ'en54l]
influx;n. 流入,河口,汇集;['infl8ks]
informal;a. 非正式的,不拘礼的,通俗的;[in'f3:m4l]
infringe;vt.vi. 破坏,侵犯,违反;[in'frind9]
infuse;vt. 注入,泡出味道,鼓舞vi. 泡,注;[in'fju:z]
ingenious;a. 灵敏的,精巧的,聪明的;[in'd9i:nj4s]
inhabit;vt. 居住于,占据,栖息;[in'h1bit]
inhabitant;n. 居民,居住者;[in'h1bit4nt]
inherent;a. 固有的,与生俱来的;[in'hi4r4nt]
initial;n. 字首,首字母a. 开始的,最初的,字首的vt. 签姓名的首字母;[i'ni54l]
initiate;n. 入会,开始a. 新加入的vt. 开始,传授;[i'ni5ieit]
inject;vt. 注射,注入,注满;[in'd9ekt]
injure;vt. 伤害,损害,使受冤屈;['ind94]
injurious;a. 有害的;[in'd9u4ri4s]
innate;a. 先天的,天生的;[i'neit]
innocent;a. 无罪的,不懂事的,无知的n. 天真的人,笨蛋;['in4snt]
innovation;n. 改革,创新;['in4u'vei54n]
innumerable;a. 无数的,数不清的;[i'nju:m4r4bl]
inordinate;a. 过度的,紊乱的,无法无天的,过分的;[i'n4:dinit]
inquiry;n. 质询,调查;[in'kwai4ri]
inquisitive;a. 想问的,想知道的,好追根究底的;[in'kwizitiv]
insane;a. 患精神病的,极愚蠢的;[in'sein]
insert;n. 插入物vt. 插入,镶补vi. 附着n. 插入;[in's4:t,'ins4:t]
insinuate;vt. 巴结,暗示,使潜入;[in'sinjueit]
insist;vi.vt. 坚持,强调;[in'sist]
insolent;n. 侮慢无乱的人a. 粗野的,无礼的,侮慢的;['ins4l4nt]
inspect;vt. 检查,调查,监察vi. 检查;[in'spekt]
install;vt. 安装,安置,使就职;[in'st3:l]
instantaneous;a. 即时的,瞬间的,同时发生的;['inst4n'teinj4s]
instigate;vt. 教唆,怂恿,煽动;['inst4geit]
instill;((英))in.stil[in'stil] vt. 1 将<思想、感情等>逐渐灌输给[某人],灌入 [脑子里] 徐徐教导[in,into]2 将<液体>一滴一滴地滴入[…中],滴注[in, into];[in'stil]
instinctive;a. 本能的,天生的,直觉的;[in'sti6ktiv]
institute;n. 学会,学院,协会vt. 创立,开始,制定,任命;['institju:t]
instruct;vt. 教,教育,命令,指导;[in'str8kt]
instrument;n. 工具,手段,仪器;['instrum4nt]
insufferable;a. 不可忍受的,忍耐不住的,气人的;[in's8f4r4bl]
insular;a. 岛的,岛民的,保守的,孤立的,岛特有的;['insjul4]
insult;n. 侮辱,无礼vt. 傲慢无礼,侮辱,刺激;['ins8lt,in's8lt]
integral;n. 积分,整数a. 整体的,整数的,积分的n. 积分;['intigr4l]
integrate;vt. 综合,使结合,使成整体vi. 成一体a. 完整的,完全的;['intigreit]
integrity;n. 正直,廉正,完整;[in'tegriti]
intellectual;n. 有知识者,知识分子,凭理智做事者a. 智力的,知性的,聪明的;['inti'lektju4l]
intelligence;n. 智力,情报,神;[in'telid94ns]
intelligent;a. 聪明的,伶俐的,有才智的;[in'telid94nt]
intelligible;a. 可理解的,易理解的,明了的;[in't1lid94bl]
intense;a. 非常的,强烈的,紧张的,热情的;[in'tens]
intensify;vt. 加强vi. 强化;[in'tensifai]
intensive;a. 加强的,集中的n. 加强器;[in'tensiv]
intercede;vi. 仲裁,说情,调解;[int4'si:d]
intercept;n. 截取,妨碍,截距vt. 拦截,阻止,截取;['int4'sept]
interfere;vi. 妨碍,冲突,干涉,抵触;['int4'fi4]
interior;n. 内部,内政a. 内部的,心灵的;[in'ti4ri4]
interject;vt. 插嘴,突然插入;[int4'd9ekt]
interlude;n. 幕间,幕间时间,过场,穿插,插曲;['int4lu:d]
intermediary;n. 仲裁者,调解者,媒介物,中间人a. 中间的,媒介的;[int4'mi:di4ri]
intermediate;n. 中间物,调停者a. 中间的,中级的vi. 起媒介作用n. 中级;['int4'mi:dj4t]
internal;a. 内在的,国内的;[in't4:nl]
interrogate;vt. 质问,讯问,审问vi. 提出问题;[in'ter4geit]
interrupt;vt. 中断,妨碍,插嘴vi. 打断n. 中断;['int4'r8pt]
intersect;vt. 横断vi. 交错,相交;[int4'sekt]
intervene;vi. 插入,调停,干涉;['int4'vi:n]
intimacy;n. 亲密,熟悉,亲昵行为;['intim4si]
intimate;a. 亲密的,私人的,秘密的vt. 暗示,通知,告诉n. 熟友;['intimit]
intimidate;vt. 威胁,恐吓,胁迫;[in'timideit]
intoxicate;vt. 使陶醉,醉人;[in't3ksikeit]
intrepid;a. 无畏的,勇猛的,豪勇的;[in'trepid]
intricate;a. 复杂的,错综的,缠结的,难懂的;['intrikit]
intrinsic;a. 本质的,原有的,真正的;[in'trinsik]
intrude;vi. 闯入,侵入vt. 强挤入;[in'tru:d]
intuition;n. 直觉,直觉的知识;['intju'i54n]
inure;vt. 使习惯vi. 生效;[in'jur]
invade;vt. 侵入,拥入,侵略,侵袭;[in'veid]
invalid;n. 病人,残废者a. 有病的,残废的,无效的;['inv4li:d,in'v1lid]
invalidate;vt. 使无效;[in'v1lideit]
invaluable;a. 无价的,价值无法衡量的;[in'v1lju4bl]
inventory;n. 详细目录,存货清单vt. 列入详细目录,清点存货;['inv4n't4uri]
inverse;a. 倒转的,相反的n. 反白,反色;[in'v4:s]
invert;a. 转化的vt. 使反转,使颠倒,使转化n. 颠倒的事物;[in'v4:t,
investigate;vt.vi. 调查,研究;[in'vestigeit]
inviting;a. 引人动心的,有魅力的;[in'vaiti6]
invocation;n. 祈祷,符咒;[invou'kei54n]
invoke;vt. 祈求,恳求,引起,援引,实行;[in'v4uk]
irreconcilable;a. 不能和解的,不能协调的,矛盾的;[i'rek4nsail4bl]
irrelevant;a. 不恰当的,无关系的,不相干的;[i'rel4v4nt]
irrepressible;a. 镇压不住的,抑制不住的;[iri'pres4bl]
irreproachable;a. 不可非难的,无缺点的,无过失的;[iri'prout54bl]
irresistible;a. 不可抵抗的,不能压制的;['iri'zist4bl]
irresolute;a. 无决断的,优柔寡断的,踌躇不定的;[i'rez4lu:t]
irreverent;a. 不敬的,不逊的,无礼的;[i'rev4r4nt]
irrevocable;a. 不能挽回的,不能取消的,不能变更的;[i'rev4k4bl]
irrigate;vt. 灌溉,冲洗伤口,使潮湿vi. 进行灌溉;['irigeit]
irritable;a. 易怒的,急躁的;['irit4bl]
irritate;vt. 激怒,使发怒,使不舒服,使发炎vi. 引起不快;['iriteit]
isolate;vt. 使隔离,使孤立,使绝缘n. 隔离种群;['ais4leit]
issue;n. 发行,问题,后果,争端,出口vi. 发行,流出,传下,进行辩护,造成...结果vt. 使流出,放出,发给,发布;['i5u:]
itinerant;a. 巡回的n. 巡回者;[i'tin4r4nt]
jar;n. 广口瓶,震动,刺耳声vi. 震惊,冲突,发刺耳声,不一致vt. 震动,刺激;[d9a:]
jealous;a. 嫉妒的,羡慕的,留心的,戒备的;['d9el4s]
jeer;n. 嘲笑,讥讽,戏弄,vt.vi. 嘲弄,揶揄,戏弄;[d9i4]
jellyfish;n. 水母,海蜇,意志薄弱的人;['d9Ali'fi5]
jeopardy;n. 危难,危险;['d9ep4di]
jerk;n. 性情古怪的人,急拉,肌肉抽搐,牛肉干vi. 痉挛,急拉,急推vt. 猛拉;[d94:k]
jolt;n. 震摇,摇动,颠簸vi. 颠簸而行,震摇vt. 使颠簸,使慌张,猛击;[d94ult]
joyous;a. 快乐的,高兴的;['d93i4s]
judgment;n. 裁判,宣告,判决书;['d98d9m4nt]
jumble;vi. 掺杂,混杂vt. 搞乱,使混乱n. 混乱,薄饼;['d98mbl]
junction;n. 连接,会合处,交叉点;['d986k54n]
juncture;n. 接合,连接,接缝;['d986kt54]
jurisdiction;n. 司法权,审判权,管辖权;['d9u4ris'dik54n]
justify;vt. 替...辩护,证明vi. 证明合法;['d98stifai]
justly;ad. 公正地,理由充分地,正当地;['d98stli]
juvenile;n. 少年,少年读物a. 少年的,不成熟的,适于少年的;['d9u:vinail]
ken;n. 视野范围,知识范围,见地;[ken]
kidnap;vt. 绑架,诱拐,拐骗;['kidn1p]
kindle;vt. 点燃,使着火,引起,照亮vi. 着火,激动,发亮;['kindl]
kingdom;n. 王国,国度,领域;['ki6d4m]
knowledgeable;a. 聪明的,有知识的; ['n_lid__b_l]
laborious;a. 艰苦的,费劲的,勤劳的;[l4'b3:ri4s]
labyrinth;n. 迷宫,难解的事物,迷路;['l1b4rin7]
lag;n. 落后,囚犯,防护套,桶板,迟延a. 最后的vi. 落后,蹒跚,缓缓而行,滞后vt. 落后于,押往监狱,加上外套;[l1g]
lament;n. 悲叹,悔恨,悼词,挽歌vt. 哀悼vi. 悔恨,悲叹;[l4'ment]
land;n. 陆地,地面,地界,土地,国土,地产vi. 登陆,登岸,到达vt. 使上岸,使登陆,使到达;[l1nd]
languid;a. 疲倦的,无力的,阴沉的;['l16gwid]
languish;vi. 憔悴,凋萎,苦思;['l16gwi5]
lash;n. 鞭子,鞭打,讽刺,责骂,睫毛vt. 鞭打,摆动,扎捆,煽动,讽刺vi. 冲洗,鞭打,责骂;[l15]
lasting;a. 永久的,永恒的,持久的n. 厚实斜纹织物;['la:sti6]
lately;ad. 近来,最近;['leitli]
latitude;n. 纬度,范围;['l1titju:d]
laud;n. 赞美,称赞vt. 赞美,称赞;[l3:d]
laudable;a. 值得赞赏的,值得佩服的,动人的;['l3:d4bl]
launch;n. 下水,汽艇,发射vt. 使下水,发射,发动,发出vi. 起飞,下水,投入,开始;[l3:nt5]
laurel;n. 月桂树,荣誉vt. 使戴桂冠,授予荣誉;['l3r4l]
lawn;n. 草地,草坪,薄麻布;[l3:n]
lawsuit;n. 诉讼,控诉;['l3'sut]
lead;n. 铅,铅条,领导,提示,领引,导线,主角,榜样vt. 引导,带领,领导,指挥,用铅包,加铅于,致使vi. 领导,带头,被铅覆盖,用水砣测深,导致a. 带头的,最重要的;[li:d]
leading;n. 领导,指挥,疏导,铅板a. 领导的,主要的,在前的;['li:di6]
league;n. 同盟,联盟,盟约vt.vi. 组联盟,(使)加盟;[li:g]
leak;n. 漏洞,漏处,漏出,泄漏vi. 漏,泄漏vt. 使渗漏;[li:k]
lease;n. 租约,租期,租vt. 出租,租出,租得;[li:s]
lease;n. 租约,租期,租vt. 出租,租出,租得;[li:s]
leash;n. 拴狗颈之皮带vt. 以皮带束缚,束缚;[li:5]
ledge;n. 突出之部分,暗礁,矿层;[led9]
legacy;n. 祖先传下来之物,遗赠物;['leg4si]
legalize;vt. 法律上认为正当,公认,使合法化;['ligl'aiz]
legendary;"adj. 1 传说 (上) 的2 传奇性的3  (指褒义或贬义上) 著名的 (C) 1 传说集;  (尤指) 圣徒传2  (圣徒) 传说的作者";['led94nd4ri]
legislate;vi. 制定法律vt. 使依法成;['leAd9isleit]
lethal;a. 致命的n. 致死因子;['li74l]
levy;n. 征税,召集,课征vi. 征税,课税vt. 征收,发动,召集;['levi]
liaison;n. 联络;[li:'eiz4n]
liberal;n. 自由主义者,开明的人a. 慷慨的,不拘泥的,宽大的,自由主义的;['lib4r4l]
liberate;vt. 解放,释放,使自由;['lib4reit]
licensed;a. 得到许可的;['laisnst]
limestone;n. 石灰石;['laimst4un]
limp;n. 跛行a. 柔软的,无力的,软弱的vi. 跛行;[limp]
limpid;a. 清澈的,透明的,静止的;['limpid]
linguistics;n. 语言学;[li6'gwistiks]
liquid;n. 液体,流体,流音a. 液体的,透明的,易变的,流动的;['likwid]
listless;a. 倦怠的,无精打采的,冷漠的;['listlis]
lithe;a. 柔软的;[lai0]
loan;n. 贷款,借出,债权人vt.vi. 借,供应货款,借给;[l4un]
loath;a. 不情愿的,勉强的;[l4u7]
loathe;vt. 厌恶,憎恶;[l4u0]
locate;vt. 找出,设于,位于vi. 定居;[l4u'keit]
lofty;a. 高的,高超的,傲慢的,玄虚的,高级的;['l3fti]
log;n. 记录,圆木,日志,记程仪vt. 伐木,切,航行vi. 伐木n. 日志;[l3g]
logical;a. 合乎逻辑的,合理的;['l3d9ik4l]
long;a. 长的,长久的,冗长的,做多头的vi. 渴望,热望,极想ad. 长久,始终n. 长时间n. 长,长整型;[l36]
longitude;n. 经度,经线;['l3nd9itju:d]
loop;n. 环,圈,弯曲部分vt. 使成环,以圈结,以环连接vi. 打环,翻筋斗n. 循环;[lu:p]
loose;n. 解放,放任,放纵a.宽松的,松的,宽的,不牢固的,不精确的,自由的,散漫的vt. 释放,放枪,开船vi. 变松,开火;[lu:s]
loot;n. 洗劫,抢夺vt.vi. 洗劫,抢夺;[lu:t]
lottery;n. 奖券,彩票,运气;['lat4ri]
lull;n. 暂停,间歇,稍息,麻痹vt. 使平静,哄骗,使安静vi. 变平静;[l8l]
luminous;a. 发光的,明亮的;['lju:min4s]
lure;n. 饵,诱惑vt. 引诱,诱惑;[lju4]
lurk;n. 潜伏,潜行vi. 潜藏,潜伏,埋伏;[l4:k]
luster;n. 光彩,荣誉,光泽vi. 有光泽,发亮vt. 使发光辉;['l8st4]
lusty;a. 健壮的,精力充沛的;['l8sti]
luxuriant;a. 繁茂的,丰富的,肥沃的,华丽的;[l8g'zju4ri4nt]
luxurious;a. 豪华的,奢侈的,放纵的;[l8g'zju4ri4s]
lyric;n. 抒情诗,歌词a. 抒情的;['lirik]
magnificent;a. 华丽的,高尚的,丰富的;[m1g'nifisnt]
maim;vt. 使残废,使不能工作,使伤残;[meim]
maintain;vt. 维持,维修,保持,主张,供养,坚持;[mein'tein]
major;n. 主修课,成年人,陆军少校a. 主要的,较多的,严重的,成年的vi. 主修;['meid94]
majority;n. 多数,大半;[m4'd93riti]
malady;n. 病,疾病,弊病;['m1l4di]
malcontent;a. 抱不平的,不满的,不服的n. 不满现状的人;['m1lk4ntent]
malevolent;a. 有恶意的,坏心肠的;[m4'lev4l4nt]
malice;n. 恶意,蓄意,怨恨;['m1lis]
malicious;a. 怀恶意的,恶毒的;[m4'li54s]
malign;a. 有害的,恶性的,有恶意的vt. 诽谤,说坏话;[m4'lain]
malleable;a. 有延展性的,可锻的;['m1li4bl]
mammals;哺乳动物;['m_m_l]
mandate;n. 命令,指令,要求vt. 委任统治;['m1ndeit]
mandatory;a. 命令的,托管的;['m1nd4't4uri]
maneuver;n. 演习,调遣,策略vi.vt. 调遣,演习,用计;[m4'nu:v4]
mangle;vt. 乱砍,损坏,轧布n. 轧布机;['m16gl]
mania;n. 狂躁,热衷,狂热;['meinj4]
manifold;n. 复印本,多种a. 多种的,有许多部分的,多方面的vt. 复写,繁殖,增多;['m1nif4uld]
manipulate;vt. 操纵,利用,假造,应付;[m4'nipjuleit]
manufacture;n. 产品,制造vt. 制造,假造vi. 制造;['m1nju'f1kt54]
manure;n. 肥料,粪肥vt. 施肥于;[m4'nju4]
marble;n. 大理石,石弹,雕刻品a. 大理石的,冷酷无情的,坚硬的;['ma:bl]
margin;n. 页边的空白,边缘,界限,余裕,保证金,差额vt. 加边于,加旁注于v. 页边距;['ma:d9in]
marine;n. 舰队,水兵,海运业a. 海的,海产的,海运的,船舶的,海底的;[m4'ri:n]
marital;a. 丈夫的,婚姻的,夫妇间的;['m1ritl]
maritime;a. 海的,海上的,海员的,沿海的;['m1ritaim]
marvelous;a. 令人惊异的,了不起的,不平常的;['ma:vil4s]
mass;n. 块,大多数,质量,弥撒,群众a. 群众的,大规模的,集中的vt. 使集合,集中vi. 聚集;[m1s]
massive;a. 大而重的,宽大的,宏伟的;['m1siv]
matchless;a. 无敌的,无比的;['m1t5lis]
mathematics;n. 数学;['m17i'm1tiks]
maxim;n. 格言,座右铭;['m1ksim]
maze;n. 迷宫,迷惘vt. 使迷惘,使混乱,迷失;[meiz]
mean;a. 低劣的,卑贱的,卑鄙的,麻烦的,简陋的,吝啬的,惭愧的,中间的vt. 意谓,想要,意欲,预定vi. 用意,有意义n. 平均数,中间,中庸;[mi:n]
meander;n. 河流的曲折,漫步,迂回旅行vi. 缓慢而弯曲地流动,漫谈vt. 使蜿蜒曲折;[mi'1nd4]
means;n. 方法,手段,收入,财产,工具;[mi:nz]
mechanical;a. 机械的,机械性的,力学的;[mi'k1nik4l]
mechanics;n. 机械学,技巧,力学;[mi'k1niks]
meddle;vi. 干涉,干预,乱搞;['medl]
mediate;a. 居间的,间接的vt. 斡旋,调停vi. 处于中间,调解;['midieit]
mediocre;a. 不好不坏的,通常,平凡的;['midi'4uk4]
meditative;a. 默想的,耽于默想的,冥想的;['mediteitiv]
medium;n. 媒体,方法,媒介a. 半生熟的,中的n. 媒体,中;['mi:dj4m]
meek;a. 温顺的,谦恭的;[mi:k]
menace;n. 威胁,胁迫vt.vi. 威吓,胁迫;['men4s]
mend;n. 改进,改良,修补处,好转vt. 修改,改进,加快,修理vi. 好转,改善;[mend]
menial;a. 适合仆人做的,卑微的n. 仆人;['mini4l]
mention;n. 提到,言及,陈述vt. 提到,提及;['men54n]
merchandise;n. 商品,存货vi.vt. 交易,买卖;['m4:t54ndaiz]
merciful;a. 仁慈的,慈悲的;['m4:siful]
merge;vt. 使合并,使消失,吞没vi. 合并,渐渐消失v. 合并;[m4:d9]
merit;n. 优点,功绩,真相,功过,价值vt. 值得vi. 应受;['merit]
messy;a. 散乱的,污秽的,麻烦的;['mesi]
metabolism;n. 新陈代谢,变形;[m4't1bliz4m]
methodical;a. 有方法的,有系统的;[m4'73dikl]
mighty;n. 有势力的人a. 有势力的,强大的,有力的ad. 很,极;['maiti]
mimicry;n. 模仿;['mimikri]
mine;n. 矿,富源,地雷vt. 挖掘,开采,在...布雷,破坏vi. 开矿,埋设地雷;[main]
minority;n. 少数,未成年,少数民族a. 少数的,属于少数派的;[mai'n3riti]
minute;n. 分,分钟,笔记,备忘录,片刻vt. 记录,摘录,测定时间a. 微小的,详细的;['minit,mai'nju:t]
miser;n. 守财奴,吝啬鬼,凿井机;['maiz4]
miserable;a. 悲惨的,穷困的,不幸的;['miz4r4bl]
miserly;a. 吝啬的,贪婪的;['maiz4li]
misery;n. 悲惨,不幸,穷困;['miz4ri]
misgiving;(U) [常 ~s] [对有关未来之事的] 不安,疑惑,忧虑,缺乏信心[about];[mis'givi6]
mishap;n. 不幸之事,灾祸,噩运;[mis'h1p]
mitigate;vt. 镇静,缓和,减轻;['mitigeit]
mock;n. 嘲笑,戏弄,模仿a. 假的,伪造的,模拟的ad. 虚伪地vt. 嘲弄,模仿,挫败,欺骗,轻视vi. 嘲弄;[m3k]
moderate;a. 适度的,稳健的,中等的,节制的vt. 节制,使稳定,使缓和vi. 变缓和,主持会议;['m3d4rit]
modest;a. 谦逊的,羞怯的,端庄的,适度的;['m3dist]
modify;vt. 修正,变更,减轻,缓和,修饰v. 修改;['m3difai]
modulate;vt. 调整,使转调,调制vi. 转调,调制;['m3djuleit]
moist;a. 潮湿的,多雨的,感伤的,含泪的;[m3ist]
moisten;vt. 弄湿vi. 变潮湿;['m3isn]
mold;n. 模子,雏形,霉vt.vi. 形成,塑造,发霉;[m4uld]
molecule;n. 分子,些微;['m3likju:l]
mollify;vt. 平息,缓和,减轻,使镇静;['m3lifai]
momentous;a. 重大的,重要的;[mou'ment4s]
monarch;n. 帝王,统治者,元首;['m3n4k]
monitor;n. 监督器,级长,监听员,告诫物,监视器,班长vt.vi. 监视,监听,监督n. 监视器,监视程序v. 监视;['m3nit4]
monotonous;a. 单调的,无变化的;[m4'n3t4n4s]
monster;n. 怪物,恶人,巨物;['m3nst4]
morale;n. 士气,民心;[m3'ra:l]
morbid;a. 不健全的,病态的,疾病的,可怕的;['m3:bid]
moron;n. 低能者,笨人;['m3:r3n]
mortal;n. 凡人,人类a. 不免一死的,人类的,临终的;['m3:tl]
mostly;ad. 大概,大部分,主要;['m4ustli]
motif;n. 主题,意念,动机,基本花纹;[mou'ti:f]
motion;n. 移动,手势,动作,提议,请求vt.vi. 打手势;['m4u54n]
motivation;n. 动机,刺激,推动;['m4uti'vei54n]
muddle;vt. 混合,使微醉,使咬字不清晰vi. 胡乱对付n. 困惑,混浊状态;['m8dl]
multitude;n. 多数,群众;['m8ltitju:d]
munificent;a. 宽宏的,慷慨的;[mju:'nifisnt]
mutation;n. 变化,转变,元音变化;[mju:'tei54n]
mutual;a. 相互的,共有的;['mju:tju4l]
mysterious;a. 神秘的,难解的,不可思议的;[mis'ti4ri4s]
narrate;vt.vi. 说故事,说明,叙述;[n1'reit]
nationality;n. 国籍,国家,民族性;['n154'n1liti]
natural;n. 天生的白痴a. 自然的,自然界的,本能的,天然的,天生的,物质的,正常的,本位的,自然数的,蒙昧的;['n1t54r4l]
naughty;a. 顽皮的,没规矩的,不适当的,下流的;['n3:ti]
naval;a. 海军的,军舰的,有舰队的;['neiv4l]
navigation;n. 航行,航海,导航;['n1vi'gei54n]
nearly;ad. 几乎,密切地;['ni4li]
needy;a. 贫穷的,贫困的,生活艰苦的;['ni:di]
neglect;n. 疏忽,忽略,怠慢vt. 疏忽,忽视,不顾;[ni'glekt]
negligence;n. 疏忽,粗心大意,忽视;['neglid94ns]
negligent;a. 疏忽的,粗心的,不在意的;['neglid94nt]
negotiate;vi. 商议,谈判,交涉vt. 谈妥,转让,处理;[ni'g4u5ieit]
nervous;a. 神经紧张的,不安的,神经的;['n4:v4s]
neutral;n. 中立者,中立国,非彩色,齿轮的空档a. 中立的,中性的,无色的;['nju:tr4l]
neutralize;vt. 使中立,使成中立地带,使中和,抵消vi. 中立化,变无效,中和;['nju:tr4laiz]
nibble;n. 半位元组,细咬,轻咬,啃vt.vi. 一点一点地咬,细咬,吹毛求疵n. 半字节;['nibl]
nimble;a. 敏捷的,伶俐的,精明的;['nimbl]
nocturnal;a. 夜的,夜曲的;[n3k't4:n4l]
nod;n. 点头,打盹,摆动vi. 点头,打盹,vt. 点头表示,点(头);[n3d]
nominate;vt. 提名,任命,命名;['n3mineit]
nonsense;n. 无意义的事,荒谬的言行,荒唐;['n3ns4ns]
nostalgia;n. 乡愁,向往过去,怀旧之情;[na'st1ld9i4]
notable;n. 著名人士,值得注意之事物a. 值得注意的,显著的,善理家的;['n4ut4bl]
noted;a. 著名的,显著的,扬名的;['n4utid]
notorious;a. 声名狼藉的,恶名昭张的,众人皆知的;[n4u't3:ri4s]
novelty;n. 新奇,新鲜,新奇的事物;['n3v4lti]
novice;n. 新手,初学者;['n3vis]
noxious;a. 有害的,有毒的,精神不健全的;['n3k54s]
nuclear;a. 核子的,原子能的,核的,中心的;['nju:kli4]
null;a. 无效力的,无效的,无价值的n. 零,空,零信号;[n8l]
numb;a. 麻木的,失去知觉的vt. 使麻木,使昏迷,使失去知觉;[n8m]
numerous;a. 很多的,数目众多的,多数的;['nju:m4r4s]
nurture;n. 养育,营养物,教育vt. 养育,给予营养物,教养;['n4:t54]
nutriment;n. 营养物,食物,营养素;['nju:trim4nt]
oasis;n. 绿洲,舒适的地方;['4ueisis]
oath;n. 誓约,誓言,咒骂;[4u7]
obedience;n. 服从,顺从,忠实;[4'bi:dj4ns]
objective;n. 目的,受格,实物a. 客观的,外在的,受词的;[3b'd9ektiv]
obligatory;a. 义不容辞的,义务的;[4'blig4't4uri]
