abandon;vt. ·ÅÆú,³ÁÄçn. ·ÅÈÎ;[4'b1nd4n]
inaugurate;vt. ¿ª´´,¾ÙÐÐ...¿ªÄ»µäÀñ;[i'n3:gjureit]
inborn;a. ÌìÉúµÄ,ÉúÀ´µÄ,Éú³ÉµÄ;[in'b3:n]
incapacitate;vt. Ê¹ÎÞÄÜÁ¦,Ê¹²»ÄÜÊ¤ÈÎ,Ê¹²»ÊÊµ±;['ink4'p1s4'tet]
incense;n. Ïã,ÏãÆø,·î³Ðvi. ·ÙÏãvt. ÓÃÏã·Ù,Ê¹·¢Å­;['insens,in'sens]
incentive;n. ¶¯»úa. ¼¤ÀøµÄ;[in'sentiv]
incessant;a. ²»¶ÏµÄ,²»¾øµÄ,ÎÞ¾¡µÄ;[in'sesnt]
incipient;a. Æð³õµÄ,·¢¶ËµÄ,³õÆÚµÄ;[in'sipi4nt]
incisive;a. ÃôÈñµÄ,»úÃôµÄ,·æÀûµÄ,ÇÐÈëµÄ,¼¤ÁÒµÄ;[in'saisiv]
incite;vt. ´Ì¼¤,¼¤Àø,ÒýÓÕ;[in'sait]
inclined;adj. ÇãÐ±µÄ;[in'klaind]
incoherent;a. ²»Á¬¹áµÄ,ÓïÎÞÂ×´ÎµÄ;['ink4u'hir4nt]
incompatible;a. ²»ÏàÈÝµÄ,²»ÄÜ²¢´æµÄ,Ã¬¶ÜµÄ;['ink4m'p1t4bl]
incompetent;a. ÎÞÄÜÁ¦µÄ,ÎÞÁ¦µÄ,²»ÊÊµ±µÄ,²»Ê¤ÈÎµÄn. ÎÞÄÜÁ¦Õß;[in'k3mpit4nt]
inconceivable;a. ²»ÄÜÏëÏñµÄ,Ïë²»µ½µÄ,ÄÑÐÅµÄ;['ink4n'si:v4bl]
incongruity;n. ²»µ÷ºÍ,²»Ò»ÖÂ,²»ÅäºÏ;['inka6'gru4ti]
incongruous;a. ²»Ð­µ÷µÄ,²»Ò»ÖÂµÄ,Ç°ºó²»Ò»µÄ;[in'k36gru4s]
incorruptible;a. ²»¸¯°ÜµÄ,²»ÄÜÊÕÂòµÄ,ÇåÁ®µÄ;[ink4'r8pt4bl]
incredible;a. ÄÑÒÔÖÃÐÅµÄ;[in'kred4bl]
incredulity;n. ²»Ò×ÏàÐÅ,ÉîÒÉ,»³ÒÉÐÄ;['inkr4'djul4ti]
incriminate;vt. ¹é×ï,Ê¹¸º×ï,¿Ø¸æ;[in'krim4'net]
incur;vt. ÕÐÖÂ,ÃÉÊÜ,ÔâÓö;[in'k4:]
indecent;a. ÏÂÁ÷µÄ,²»Í×µ±µÄ;[in'di:snt]
indefatigable;a. ²»ÖªÆ£¾ëµÄ,ÓÐÄÍÐÔµÄ,²»Çü²»ÄÓµÄ;['indi'f1tig4bl]
indefinite;a. Ä£ºýµÄ,²»È·¶¨µÄ,ÎÞÏÞµÄ;[in'definit]
indemnity;n. Åâ³¥,²¹³¥,±£»¤;[in'dAmn4ti]
indent;n. ÆõÔ¼,¶©»õµ¥,°¼ºÛvi. ÇÐ¸î³É¾â³Ý×´vt. ËõÅÅ,,Ó¡°¼ºÛn. Ëõ½ø;[in'dent]
indicate;vt. ÏÔÊ¾,ÏóÕ÷,Ö¸Ê¾,Ö¸³ö;['indikeit]
indictment;n. ÆðËß,¿Ø¸æ,ÆðËß×´;[in'daitm4nt]
indifferent;a. Ä®²»¹ØÐÄµÄ,ÎÞÖØÒªÐÔµÄ,ÖÐÁ¢µÄ;[in'difr4nt]
indigenous;a. ±¾ÍÁµÄ,ÍÁÖøµÄ,¹ú²úµÄ;[in'did9in4s]
indigent;a. Æ¶·¦µÄ,ÇîÀ§µÄ;['indid94nt]
indignant;a. ·ßÅ­µÄ,·ß¿®µÄ;[in'dign4nt]
indignity;n. ÎêÈè;[in'digniti]
indolent;a. ÀÁ¶èµÄ,²»Í´µÄ;['ind4l4nt]
indomitable;a. ²»Çü·þµÄ,²»Çü²»ÄÓµÄ;[in'd3mit4bl]
induce;vt. ÒýÓÕ,ÕÐÖÂ,¸ÐÓ¦;[in'dju:s]
industrial;a. ¹¤ÒµµÄ,ÊµÒµµÄ,²úÒµµÄn. ¹¤Òµ¹¤ÈË,¹¤Òµ¹ÉÆ±;[in'd8stri4l]
industrious;a. ÇÚÃãµÄ,¿Ì¿àµÄ;[in'd8stri4s]
ineligible;a. ÎÞ±»Ñ¡ÈÎ×Ê¸ñµÄ,²»ÊÊÈÎµÄ,²»ÊÊµ±µÄn. ÎÞ±»Ñ¡ÈÎ×Ê¸ñµÄÈË,²»ºÏÂ¼ÓÃ×Ê¸ñµÄÈË;[in'Alid94bl]
inept;a. ²»ÊÊµ±µÄ,ÎÞÄÜµÄ,±¿×¾µÄ;[in'Apt]
inert;a. ¶èÐÔµÄ,³Ù¶ÛµÄ,ÎÞ»îÁ¦µÄ,´ôÖÍµÄ;[i'n4:t]
inertia;n. ¹ßÐÔ,¶èÐÔ,³Ù¶Û;[i'n4:5j4]
inevitable;a. ²»¿É±ÜÃâµÄ,±ØÈ»µÄ;[in'evit4bl]
infallible;a. ¾øÎÞ´íÎóµÄ,¾ø¶Ô¿É¿¿µÄn. Ò»¹áÕýÈ·µÄÈË;[in'f1l4bl]
infamous;a. ÎÞ³ÜµÄ,²»ÃûÓþµÄ,ÉùÃûÀÇ½åµÄ;['inf4m4s]
infect;vt. ´«È¾,¸ÐÈ¾;[in'fekt]
infectious;a. ÓÐ´«È¾ÐÔµÄ,Ò×´«È¾µÄ;[in'fek54s]
infer;vt. ÍÆÂÛ³ö,ÍÆ¶Ïvi. ×÷ÍÆÂÛ;[in'f4:]
inferior;a. ´ÎµÈµÄ,½ÏµÍµÄ,ÏÂ·½µÄ,ÏÂ¼¶µÄn. µÍÏÂµÄÈË,´ÎÆ·,ÏÂ¸½ÎÄ×Ö;[in'fi4ri4]
inflation;n. ÕÍ´ó,¿äÕÅ,Í¨»õÅòÕÍ;[in'flei54n]
inflexible;a. ²»ÇüÇúµÄ,²»ÇüÄÓµÄ,Íç¹ÌµÄ;[in'fleks4bl]
inflict;vt. Ê©ÒÔ,¼Óº¦,¿ÆÒÔ,Ê¹³ÐÊÜ;[in'flikt]
influential;a. ÓÐÓ°ÏìµÄ,ÓÐÊÆÁ¦µÄ;['influ'en54l]
influx;n. Á÷Èë,ºÓ¿Ú,»ã¼¯;['infl8ks]
informal;a. ·ÇÕýÊ½µÄ,²»¾ÐÀñµÄ,Í¨Ë×µÄ;[in'f3:m4l]
infringe;vt.vi. ÆÆ»µ,ÇÖ·¸,Î¥·´;[in'frind9]
infuse;vt. ×¢Èë,ÅÝ³öÎ¶µÀ,¹ÄÎèvi. ÅÝ,×¢;[in'fju:z]
ingenious;a. ÁéÃôµÄ,¾«ÇÉµÄ,´ÏÃ÷µÄ;[in'd9i:nj4s]
inhabit;vt. ¾Ó×¡ÓÚ,Õ¼¾Ý,ÆÜÏ¢;[in'h1bit]
inhabitant;n. ¾ÓÃñ,¾Ó×¡Õß;[in'h1bit4nt]
inherent;a. ¹ÌÓÐµÄ,ÓëÉú¾ãÀ´µÄ;[in'hi4r4nt]
initial;n. ×ÖÊ×,Ê××ÖÄ¸a. ¿ªÊ¼µÄ,×î³õµÄ,×ÖÊ×µÄvt. Ç©ÐÕÃûµÄÊ××ÖÄ¸;[i'ni54l]
initiate;n. Èë»á,¿ªÊ¼a. ÐÂ¼ÓÈëµÄvt. ¿ªÊ¼,´«ÊÚ;[i'ni5ieit]
inject;vt. ×¢Éä,×¢Èë,×¢Âú;[in'd9ekt]
injure;vt. ÉËº¦,Ëðº¦,Ê¹ÊÜÔ©Çü;['ind94]
injurious;a. ÓÐº¦µÄ;[in'd9u4ri4s]
innate;a. ÏÈÌìµÄ,ÌìÉúµÄ;[i'neit]
innocent;a. ÎÞ×ïµÄ,²»¶®ÊÂµÄ,ÎÞÖªµÄn. ÌìÕæµÄÈË,±¿µ°;['in4snt]
innovation;n. ¸Ä¸ï,´´ÐÂ;['in4u'vei54n]
innumerable;a. ÎÞÊýµÄ,Êý²»ÇåµÄ;[i'nju:m4r4bl]
inordinate;a. ¹ý¶ÈµÄ,ÎÉÂÒµÄ,ÎÞ·¨ÎÞÌìµÄ,¹ý·ÖµÄ;[i'n4:dinit]
inquiry;n. ÖÊÑ¯,µ÷²é;[in'kwai4ri]
inquisitive;a. ÏëÎÊµÄ,ÏëÖªµÀµÄ,ºÃ×·¸ù¾¿µ×µÄ;[in'kwizitiv]
insane;a. »¼¾«Éñ²¡µÄ,¼«ÓÞ´ÀµÄ;[in'sein]
insert;n. ²åÈëÎïvt. ²åÈë,Ïâ²¹vi. ¸½×Ån. ²åÈë;[in's4:t,'ins4:t]
insinuate;vt. °Í½á,°µÊ¾,Ê¹Ç±Èë;[in'sinjueit]
insist;vi.vt. ¼á³Ö,Ç¿µ÷;[in'sist]
insolent;n. ÎêÂýÎÞÂÒµÄÈËa. ´ÖÒ°µÄ,ÎÞÀñµÄ,ÎêÂýµÄ;['ins4l4nt]
inspect;vt. ¼ì²é,µ÷²é,¼à²ìvi. ¼ì²é;[in'spekt]
install;vt. °²×°,°²ÖÃ,Ê¹¾ÍÖ°;[in'st3:l]
instantaneous;a. ¼´Ê±µÄ,Ë²¼äµÄ,Í¬Ê±·¢ÉúµÄ;['inst4n'teinj4s]
instigate;vt. ½ÌËô,ËËÓÁ,É¿¶¯;['inst4geit]
instill;((Ó¢))in.stil[in'stil] vt. 1 ½«<Ë¼Ïë¡¢¸ÐÇéµÈ>Öð½¥¹àÊä¸ø[Ä³ÈË],¹àÈë [ÄÔ×ÓÀï] ÐìÐì½Ìµ¼[in,into]2 ½«<ÒºÌå>Ò»µÎÒ»µÎµØµÎÈë[ÿÖÐ],µÎ×¢[in, into];[in'stil]
instinctive;a. ±¾ÄÜµÄ,ÌìÉúµÄ,Ö±¾õµÄ;[in'sti6ktiv]
institute;n. Ñ§»á,Ñ§Ôº,Ð­»ávt. ´´Á¢,¿ªÊ¼,ÖÆ¶¨,ÈÎÃü;['institju:t]
instruct;vt. ½Ì,½ÌÓý,ÃüÁî,Ö¸µ¼;[in'str8kt]
instrument;n. ¹¤¾ß,ÊÖ¶Î,ÒÇÆ÷;['instrum4nt]
insufferable;a. ²»¿ÉÈÌÊÜµÄ,ÈÌÄÍ²»×¡µÄ,ÆøÈËµÄ;[in's8f4r4bl]
insular;a. µºµÄ,µºÃñµÄ,±£ÊØµÄ,¹ÂÁ¢µÄ,µºÌØÓÐµÄ;['insjul4]
insult;n. ÎêÈè,ÎÞÀñvt. °ÁÂýÎÞÀñ,ÎêÈè,´Ì¼¤;['ins8lt,in's8lt]
integral;n. »ý·Ö,ÕûÊýa. ÕûÌåµÄ,ÕûÊýµÄ,»ý·ÖµÄn. »ý·Ö;['intigr4l]
integrate;vt. ×ÛºÏ,Ê¹½áºÏ,Ê¹³ÉÕûÌåvi. ³ÉÒ»Ìåa. ÍêÕûµÄ,ÍêÈ«µÄ;['intigreit]
integrity;n. ÕýÖ±,Á®Õý,ÍêÕû;[in'tegriti]
intellectual;n. ÓÐÖªÊ¶Õß,ÖªÊ¶·Ö×Ó,Æ¾ÀíÖÇ×öÊÂÕßa. ÖÇÁ¦µÄ,ÖªÐÔµÄ,´ÏÃ÷µÄ;['inti'lektju4l]
intelligence;n. ÖÇÁ¦,Çé±¨,Éñ;[in'telid94ns]
intelligent;a. ´ÏÃ÷µÄ,ÁæÀþµÄ,ÓÐ²ÅÖÇµÄ;[in'telid94nt]
intelligible;a. ¿ÉÀí½âµÄ,Ò×Àí½âµÄ,Ã÷ÁËµÄ;[in't1lid94bl]
intense;a. ·Ç³£µÄ,Ç¿ÁÒµÄ,½ôÕÅµÄ,ÈÈÇéµÄ;[in'tens]
intensify;vt. ¼ÓÇ¿vi. Ç¿»¯;[in'tensifai]
intensive;a. ¼ÓÇ¿µÄ,¼¯ÖÐµÄn. ¼ÓÇ¿Æ÷;[in'tensiv]
intercede;vi. ÖÙ²Ã,ËµÇé,µ÷½â;[int4'si:d]
intercept;n. ½ØÈ¡,·Á°­,½Ø¾àvt. À¹½Ø,×èÖ¹,½ØÈ¡;['int4'sept]
interfere;vi. ·Á°­,³åÍ»,¸ÉÉæ,µÖ´¥;['int4'fi4]
interior;n. ÄÚ²¿,ÄÚÕþa. ÄÚ²¿µÄ,ÐÄÁéµÄ;[in'ti4ri4]
interject;vt. ²å×ì,Í»È»²åÈë;[int4'd9ekt]
interlude;n. Ä»¼ä,Ä»¼äÊ±¼ä,¹ý³¡,´©²å,²åÇú;['int4lu:d]
intermediary;n. ÖÙ²ÃÕß,µ÷½âÕß,Ã½½éÎï,ÖÐ¼äÈËa. ÖÐ¼äµÄ,Ã½½éµÄ;[int4'mi:di4ri]
intermediate;n. ÖÐ¼äÎï,µ÷Í£Õßa. ÖÐ¼äµÄ,ÖÐ¼¶µÄvi. ÆðÃ½½é×÷ÓÃn. ÖÐ¼¶;['int4'mi:dj4t]
internal;a. ÄÚÔÚµÄ,¹úÄÚµÄ;[in't4:nl]
interrogate;vt. ÖÊÎÊ,Ñ¶ÎÊ,ÉóÎÊvi. Ìá³öÎÊÌâ;[in'ter4geit]
interrupt;vt. ÖÐ¶Ï,·Á°­,²å×ìvi. ´ò¶Ïn. ÖÐ¶Ï;['int4'r8pt]
intersect;vt. ºá¶Ïvi. ½»´í,Ïà½»;[int4'sekt]
intervene;vi. ²åÈë,µ÷Í£,¸ÉÉæ;['int4'vi:n]
intimacy;n. Ç×ÃÜ,ÊìÏ¤,Ç×êÇÐÐÎª;['intim4si]
intimate;a. Ç×ÃÜµÄ,Ë½ÈËµÄ,ÃØÃÜµÄvt. °µÊ¾,Í¨Öª,¸æËßn. ÊìÓÑ;['intimit]
intimidate;vt. ÍþÐ²,¿ÖÏÅ,Ð²ÆÈ;[in'timideit]
intoxicate;vt. Ê¹ÌÕ×í,×íÈË;[in't3ksikeit]
intrepid;a. ÎÞÎ·µÄ,ÓÂÃÍµÄ,ºÀÓÂµÄ;[in'trepid]
intricate;a. ¸´ÔÓµÄ,´í×ÛµÄ,²ø½áµÄ,ÄÑ¶®µÄ;['intrikit]
intrinsic;a. ±¾ÖÊµÄ,Ô­ÓÐµÄ,ÕæÕýµÄ;[in'trinsik]
intrude;vi. ´³Èë,ÇÖÈëvt. Ç¿¼·Èë;[in'tru:d]
intuition;n. Ö±¾õ,Ö±¾õµÄÖªÊ¶;['intju'i54n]
inure;vt. Ê¹Ï°¹ßvi. ÉúÐ§;[in'jur]
invade;vt. ÇÖÈë,ÓµÈë,ÇÖÂÔ,ÇÖÏ®;[in'veid]
invalid;n. ²¡ÈË,²Ð·ÏÕßa. ÓÐ²¡µÄ,²Ð·ÏµÄ,ÎÞÐ§µÄ;['inv4li:d,in'v1lid]
invalidate;vt. Ê¹ÎÞÐ§;[in'v1lideit]
invaluable;a. ÎÞ¼ÛµÄ,¼ÛÖµÎÞ·¨ºâÁ¿µÄ;[in'v1lju4bl]
inventory;n. ÏêÏ¸Ä¿Â¼,´æ»õÇåµ¥vt. ÁÐÈëÏêÏ¸Ä¿Â¼,Çåµã´æ»õ;['inv4n't4uri]
inverse;a. µ¹×ªµÄ,Ïà·´µÄn. ·´°×,·´É«;[in'v4:s]
invert;a. ×ª»¯µÄvt. Ê¹·´×ª,Ê¹µßµ¹,Ê¹×ª»¯n. µßµ¹µÄÊÂÎï;[in'v4:t,
investigate;vt.vi. µ÷²é,ÑÐ¾¿;[in'vestigeit]
inviting;a. ÒýÈË¶¯ÐÄµÄ,ÓÐ÷ÈÁ¦µÄ;[in'vaiti6]
invocation;n. Æíµ»,·ûÖä;[invou'kei54n]
invoke;vt. ÆíÇó,¿ÒÇó,ÒýÆð,Ô®Òý,ÊµÐÐ;[in'v4uk]
irreconcilable;a. ²»ÄÜºÍ½âµÄ,²»ÄÜÐ­µ÷µÄ,Ã¬¶ÜµÄ;[i'rek4nsail4bl]
irrelevant;a. ²»Ç¡µ±µÄ,ÎÞ¹ØÏµµÄ,²»Ïà¸ÉµÄ;[i'rel4v4nt]
irrepressible;a. ÕòÑ¹²»×¡µÄ,ÒÖÖÆ²»×¡µÄ;[iri'pres4bl]
irreproachable;a. ²»¿É·ÇÄÑµÄ,ÎÞÈ±µãµÄ,ÎÞ¹ýÊ§µÄ;[iri'prout54bl]
irresistible;a. ²»¿ÉµÖ¿¹µÄ,²»ÄÜÑ¹ÖÆµÄ;['iri'zist4bl]
irresolute;a. ÎÞ¾ö¶ÏµÄ,ÓÅÈá¹Ñ¶ÏµÄ,³ì³ù²»¶¨µÄ;[i'rez4lu:t]
irreverent;a. ²»¾´µÄ,²»Ñ·µÄ,ÎÞÀñµÄ;[i'rev4r4nt]
irrevocable;a. ²»ÄÜÍì»ØµÄ,²»ÄÜÈ¡ÏûµÄ,²»ÄÜ±ä¸üµÄ;[i'rev4k4bl]
irrigate;vt. ¹à¸È,³åÏ´ÉË¿Ú,Ê¹³±Êªvi. ½øÐÐ¹à¸È;['irigeit]
irritable;a. Ò×Å­µÄ,¼±ÔêµÄ;['irit4bl]
irritate;vt. ¼¤Å­,Ê¹·¢Å­,Ê¹²»Êæ·þ,Ê¹·¢Ñ×vi. ÒýÆð²»¿ì;['iriteit]
isolate;vt. Ê¹¸ôÀë,Ê¹¹ÂÁ¢,Ê¹¾øÔµn. ¸ôÀëÖÖÈº;['ais4leit]
issue;n. ·¢ÐÐ,ÎÊÌâ,ºó¹û,Õù¶Ë,³ö¿Úvi. ·¢ÐÐ,Á÷³ö,´«ÏÂ,½øÐÐ±ç»¤,Ôì³É...½á¹ûvt. Ê¹Á÷³ö,·Å³ö,·¢¸ø,·¢²¼;['i5u:]
itinerant;a. Ñ²»ØµÄn. Ñ²»ØÕß;[i'tin4r4nt]
jar;n. ¹ã¿ÚÆ¿,Õð¶¯,´Ì¶úÉùvi. Õð¾ª,³åÍ»,·¢´Ì¶úÉù,²»Ò»ÖÂvt. Õð¶¯,´Ì¼¤;[d9a:]
jealous;a. ¼µ¶ÊµÄ,ÏÛÄ½µÄ,ÁôÐÄµÄ,½ä±¸µÄ;['d9el4s]
jeer;n. ³°Ð¦,¼¥·í,Ï·Åª,vt.vi. ³°Åª,ÞÞÞí,Ï·Åª;[d9i4]
jellyfish;n. Ë®Ä¸,º£òØ,ÒâÖ¾±¡ÈõµÄÈË;['d9Ali'fi5]
jeopardy;n. Î£ÄÑ,Î£ÏÕ;['d9ep4di]
jerk;n. ÐÔÇé¹Å¹ÖµÄÈË,¼±À­,¼¡Èâ³é´¤,Å£Èâ¸Évi. ¾·ÂÎ,¼±À­,¼±ÍÆvt. ÃÍÀ­;[d94:k]
jolt;n. ÕðÒ¡,Ò¡¶¯,µßô¤vi. µßô¤¶øÐÐ,ÕðÒ¡vt. Ê¹µßô¤,Ê¹»ÅÕÅ,ÃÍ»÷;[d94ult]
joyous;a. ¿ìÀÖµÄ,¸ßÐËµÄ;['d93i4s]
judgment;n. ²ÃÅÐ,Ðû¸æ,ÅÐ¾öÊé;['d98d9m4nt]
jumble;vi. ²ôÔÓ,»ìÔÓvt. ¸ãÂÒ,Ê¹»ìÂÒn. »ìÂÒ,±¡±ý;['d98mbl]
junction;n. Á¬½Ó,»áºÏ´¦,½»²æµã;['d986k54n]
juncture;n. ½ÓºÏ,Á¬½Ó,½Ó·ì;['d986kt54]
jurisdiction;n. Ë¾·¨È¨,ÉóÅÐÈ¨,¹ÜÏ½È¨;['d9u4ris'dik54n]
justify;vt. Ìæ...±ç»¤,Ö¤Ã÷vi. Ö¤Ã÷ºÏ·¨;['d98stifai]
justly;ad. ¹«ÕýµØ,ÀíÓÉ³ä·ÖµØ,Õýµ±µØ;['d98stli]
juvenile;n. ÉÙÄê,ÉÙÄê¶ÁÎïa. ÉÙÄêµÄ,²»³ÉÊìµÄ,ÊÊÓÚÉÙÄêµÄ;['d9u:vinail]
ken;n. ÊÓÒ°·¶Î§,ÖªÊ¶·¶Î§,¼ûµØ;[ken]
kidnap;vt. °ó¼Ü,ÓÕ¹Õ,¹ÕÆ­;['kidn1p]
kindle;vt. µãÈ¼,Ê¹×Å»ð,ÒýÆð,ÕÕÁÁvi. ×Å»ð,¼¤¶¯,·¢ÁÁ;['kindl]
kingdom;n. Íõ¹ú,¹ú¶È,ÁìÓò;['ki6d4m]
knowledgeable;a. ´ÏÃ÷µÄ,ÓÐÖªÊ¶µÄ; ['n_lid__b_l]
laborious;a. ¼è¿àµÄ,·Ñ¾¢µÄ,ÇÚÀÍµÄ;[l4'b3:ri4s]
labyrinth;n. ÃÔ¹¬,ÄÑ½âµÄÊÂÎï,ÃÔÂ·;['l1b4rin7]
lag;n. Âäºó,Çô·¸,·À»¤Ì×,Í°°å,³ÙÑÓa. ×îºóµÄvi. Âäºó,õçõÇ,»º»º¶øÐÐ,ÖÍºóvt. ÂäºóÓÚ,ÑºÍù¼àÓü,¼ÓÉÏÍâÌ×;[l1g]
lament;n. ±¯Ì¾,»ÚºÞ,µ¿´Ê,Íì¸èvt. °§µ¿vi. »ÚºÞ,±¯Ì¾;[l4'ment]
land;n. Â½µØ,µØÃæ,µØ½ç,ÍÁµØ,¹úÍÁ,µØ²úvi. µÇÂ½,µÇ°¶,µ½´ïvt. Ê¹ÉÏ°¶,Ê¹µÇÂ½,Ê¹µ½´ï;[l1nd]
languid;a. Æ£¾ëµÄ,ÎÞÁ¦µÄ,Òõ³ÁµÄ;['l16gwid]
languish;vi. ã¾ã²,µòÎ®,¿àË¼;['l16gwi5]
lash;n. ±Þ×Ó,±Þ´ò,·í´Ì,ÔðÂî,½ÞÃ«vt. ±Þ´ò,°Ú¶¯,ÔúÀ¦,É¿¶¯,·í´Ìvi. ³åÏ´,±Þ´ò,ÔðÂî;[l15]
lasting;a. ÓÀ¾ÃµÄ,ÓÀºãµÄ,³Ö¾ÃµÄn. ºñÊµÐ±ÎÆÖ¯Îï;['la:sti6]
lately;ad. ½üÀ´,×î½ü;['leitli]
latitude;n. Î³¶È,·¶Î§;['l1titju:d]
laud;n. ÔÞÃÀ,³ÆÔÞvt. ÔÞÃÀ,³ÆÔÞ;[l3:d]
laudable;a. ÖµµÃÔÞÉÍµÄ,ÖµµÃÅå·þµÄ,¶¯ÈËµÄ;['l3:d4bl]
launch;n. ÏÂË®,ÆûÍ§,·¢Éävt. Ê¹ÏÂË®,·¢Éä,·¢¶¯,·¢³övi. Æð·É,ÏÂË®,Í¶Èë,¿ªÊ¼;[l3:nt5]
laurel;n. ÔÂ¹ðÊ÷,ÈÙÓþvt. Ê¹´÷¹ð¹Ú,ÊÚÓèÈÙÓþ;['l3r4l]
lawn;n. ²ÝµØ,²ÝÆº,±¡Âé²¼;[l3:n]
lawsuit;n. ËßËÏ,¿ØËß;['l3'sut]
lead;n. Ç¦,Ç¦Ìõ,Áìµ¼,ÌáÊ¾,ÁìÒý,µ¼Ïß,Ö÷½Ç,°ñÑùvt. Òýµ¼,´øÁì,Áìµ¼,Ö¸»Ó,ÓÃÇ¦°ü,¼ÓÇ¦ÓÚ,ÖÂÊ¹vi. Áìµ¼,´øÍ·,±»Ç¦¸²¸Ç,ÓÃË®íÈ²âÉî,µ¼ÖÂa. ´øÍ·µÄ,×îÖØÒªµÄ;[li:d]
leading;n. Áìµ¼,Ö¸»Ó,Êèµ¼,Ç¦°åa. Áìµ¼µÄ,Ö÷ÒªµÄ,ÔÚÇ°µÄ;['li:di6]
league;n. Í¬ÃË,ÁªÃË,ÃËÔ¼vt.vi. ×éÁªÃË,(Ê¹)¼ÓÃË;[li:g]
leak;n. Â©¶´,Â©´¦,Â©³ö,Ð¹Â©vi. Â©,Ð¹Â©vt. Ê¹ÉøÂ©;[li:k]
lease;n. ×âÔ¼,×âÆÚ,×âvt. ³ö×â,×â³ö,×âµÃ;[li:s]
lease;n. ×âÔ¼,×âÆÚ,×âvt. ³ö×â,×â³ö,×âµÃ;[li:s]
leash;n. Ë©¹·¾±Ö®Æ¤´øvt. ÒÔÆ¤´øÊø¸¿,Êø¸¿;[li:5]
ledge;n. Í»³öÖ®²¿·Ö,°µ½¸,¿ó²ã;[led9]
legacy;n. ×æÏÈ´«ÏÂÀ´Ö®Îï,ÒÅÔùÎï;['leg4si]
legalize;vt. ·¨ÂÉÉÏÈÏÎªÕýµ±,¹«ÈÏ,Ê¹ºÏ·¨»¯;['ligl'aiz]
legendary;"adj. 1 ´«Ëµ (ÉÏ) µÄ2 ´«ÆæÐÔµÄ3  (Ö¸°ýÒå»ò±áÒåÉÏ) ÖøÃûµÄ (C) 1 ´«Ëµ¼¯;  (ÓÈÖ¸) Ê¥Í½´«2  (Ê¥Í½) ´«ËµµÄ×÷Õß";['led94nd4ri]
legislate;vi. ÖÆ¶¨·¨ÂÉvt. Ê¹ÒÀ·¨³É;['leAd9isleit]
lethal;a. ÖÂÃüµÄn. ÖÂËÀÒò×Ó;['li74l]
levy;n. Õ÷Ë°,ÕÙ¼¯,¿ÎÕ÷vi. Õ÷Ë°,¿ÎË°vt. Õ÷ÊÕ,·¢¶¯,ÕÙ¼¯;['levi]
liaison;n. ÁªÂç;[li:'eiz4n]
liberal;n. ×ÔÓÉÖ÷ÒåÕß,¿ªÃ÷µÄÈËa. ¿¶¿®µÄ,²»¾ÐÄàµÄ,¿í´óµÄ,×ÔÓÉÖ÷ÒåµÄ;['lib4r4l]
liberate;vt. ½â·Å,ÊÍ·Å,Ê¹×ÔÓÉ;['lib4reit]
licensed;a. µÃµ½Ðí¿ÉµÄ;['laisnst]
limestone;n. Ê¯»ÒÊ¯;['laimst4un]
limp;n. õËÐÐa. ÈáÈíµÄ,ÎÞÁ¦µÄ,ÈíÈõµÄvi. õËÐÐ;[limp]
limpid;a. Çå³ºµÄ,Í¸Ã÷µÄ,¾²Ö¹µÄ;['limpid]
linguistics;n. ÓïÑÔÑ§;[li6'gwistiks]
liquid;n. ÒºÌå,Á÷Ìå,Á÷Òôa. ÒºÌåµÄ,Í¸Ã÷µÄ,Ò×±äµÄ,Á÷¶¯µÄ;['likwid]
listless;a. ¾ëµ¡µÄ,ÎÞ¾«´ò²ÉµÄ,ÀäÄ®µÄ;['listlis]
lithe;a. ÈáÈíµÄ;[lai0]
loan;n. ´û¿î,½è³ö,Õ®È¨ÈËvt.vi. ½è,¹©Ó¦»õ¿î,½è¸ø;[l4un]
loath;a. ²»ÇéÔ¸µÄ,ÃãÇ¿µÄ;[l4u7]
loathe;vt. Ñá¶ñ,Ô÷¶ñ;[l4u0]
locate;vt. ÕÒ³ö,ÉèÓÚ,Î»ÓÚvi. ¶¨¾Ó;[l4u'keit]
lofty;a. ¸ßµÄ,¸ß³¬µÄ,°ÁÂýµÄ,ÐþÐéµÄ,¸ß¼¶µÄ;['l3fti]
log;n. ¼ÇÂ¼,Ô²Ä¾,ÈÕÖ¾,¼Ç³ÌÒÇvt. ·¥Ä¾,ÇÐ,º½ÐÐvi. ·¥Ä¾n. ÈÕÖ¾;[l3g]
logical;a. ºÏºõÂß¼­µÄ,ºÏÀíµÄ;['l3d9ik4l]
long;a. ³¤µÄ,³¤¾ÃµÄ,Èß³¤µÄ,×ö¶àÍ·µÄvi. ¿ÊÍû,ÈÈÍû,¼«Ïëad. ³¤¾Ã,Ê¼ÖÕn. ³¤Ê±¼än. ³¤,³¤ÕûÐÍ;[l36]
longitude;n. ¾­¶È,¾­Ïß;['l3nd9itju:d]
loop;n. »·,È¦,ÍäÇú²¿·Övt. Ê¹³É»·,ÒÔÈ¦½á,ÒÔ»·Á¬½Óvi. ´ò»·,·­½î¶·n. Ñ­»·;[lu:p]
